principio_ativo;campo;motivo;fonte
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;diluicao_solucao;solução de diluição não informada no guia (via não é EV ou sem diluição);HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;diluicao_volume_min_ml;volume de diluição não capturado pelo parser;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;tempo_infusao_min;tempo de infusão não informado ou administração em bolus;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
azul de trypan (ampola 1ml) oftalmopharma intra ocula acm na na na na na na nao medicamento de dose unica. proteger da luz e da umidade. tipo do documento manual injetaveis padronizados para adultos no hu-ufgd 12/2025;incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
azul patente (ampola 2ml) 25mg/ml;reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
azul patente (ampola 2ml) 25mg/ml;reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
azul patente (ampola 2ml) 25mg/ml;reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
azul patente (ampola 2ml) 25mg/ml;diluicao_solucao;solução de diluição não informada no guia (via não é EV ou sem diluição);HU-UFGD_v3
azul patente (ampola 2ml) 25mg/ml;concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
azul patente (ampola 2ml) 25mg/ml;tempo_infusao_min;tempo de infusão não informado ou administração em bolus;HU-UFGD_v3
azul patente (ampola 2ml) 25mg/ml;velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
